protein,tissue,scl,score
6440,BTO:0000018,GO:0005783,3.76576719878
5371,BTO:0000599,GO:0005634,3.76231494436
596,BTO:0000599,GO:0005739,3.7520363711
1543,BTO:0000093,GO:0005634,3.73852348983
7157,BTO:0001938,GO:0005634,3.735805752
1525,BTO:0000195,GO:0005886,3.73021163734
2821,BTO:0000195,GO:0005886,3.72880156679
4988,BTO:0000793,GO:0005886,3.72630178609
1302,BTO:0000093,GO:0005739,3.7207217155
5243,BTO:0000093,GO:0005794,3.71435367928
4790,BTO:0000007,GO:0005634,3.71422316237
1432,BTO:0000018,GO:0005634,3.70111839604
6667,BTO:0000093,GO:0005634,3.69847936036
9564,BTO:0001061,GO:0005925,3.69659502662
268,BTO:0000017,GO:0005886,3.69003175025
1950,BTO:0000195,GO:0005886,3.68267887542
6721,BTO:0000599,GO:0005634,3.67317405451
26853,BTO:0000093,GO:0005829,3.64799197048
166929,BTO:0000567,GO:0005794,3.63738517866
5468,BTO:0001061,GO:0031982,3.63198763264
23636,BTO:0000567,GO:0005634,3.62481214108
30061,BTO:0000195,GO:0005886,3.62277305656
5663,BTO:0000793,GO:0005783,3.61196926461
1769,BTO:0000567,GO:0005856,3.60781468101
142,BTO:0001061,GO:0005739,3.60088355877
6720,BTO:0000599,GO:0031982,3.59335470806
9212,BTO:0000567,GO:0005856,3.59208033738
644079,BTO:0000007,GO:0031982,3.58850532979
701,BTO:0000567,GO:0005856,3.58660440751
1950,BTO:0000017,GO:0005634,3.58239080553
308,BTO:0000093,GO:0005634,3.57961613602
4780,BTO:0000093,GO:0005634,3.57559643119
2520,BTO:0000017,GO:0005886,3.57426279319
7157,BTO:0000018,GO:0005739,3.57418326729
84876,BTO:0000007,GO:0005886,3.5736940858
5265,BTO:0000599,GO:0005794,3.57128423505
57332,BTO:0001061,GO:0005886,3.55679151417
3172,BTO:0000195,GO:0005634,3.55381662667
196,BTO:0000017,GO:0005829,3.55166326806
912,BTO:0000599,GO:0005886,3.5437347758
26827,BTO:0000567,GO:0005634,3.52704653693
3752,BTO:0000007,GO:0005886,3.52646783934
4899,BTO:0000093,GO:0005634,3.51962343907
54205,BTO:0000093,GO:0005634,3.51367228602
4323,BTO:0002210,GO:0005886,3.51263434805
7018,BTO:0000567,GO:0031982,3.51075812256
5122,BTO:0001061,GO:0005739,3.50923628667
5594,BTO:0000093,GO:0005634,3.49804079012
79983,BTO:0000195,GO:0030054,3.49365856767
2803,BTO:0000567,GO:0005794,3.48851146281
842,BTO:0001061,GO:0005739,3.48084438253
5077,BTO:0005379,GO:0005634,3.48026880099
7431,BTO:0002136,GO:0005856,3.47466309525
836,BTO:0000793,GO:0005783,3.47379325517
5265,BTO:0000599,GO:0005783,3.46547857605
6014,BTO:0002136,GO:0005856,3.46404506618
283,BTO:0000567,GO:0005634,3.46189438992
6532,BTO:0000195,GO:0005886,3.4543307864
6285,BTO:0000793,GO:0031982,3.44873018563
2746,BTO:0000007,GO:0005886,3.4369592511
7295,BTO:0000093,GO:0005634,3.4287279206
3429,BTO:0000093,GO:0005634,3.42708329235
1113,BTO:0001061,GO:0005829,3.41960982626
5970,BTO:0000093,GO:0005634,3.41770474207
9075,BTO:0000018,GO:0005634,3.41591230448
5970,BTO:0000552,GO:0005634,3.41528602632
5601,BTO:0000195,GO:0030054,3.41332982918
6035,BTO:0000567,GO:0005634,3.40948184426
9564,BTO:0000018,GO:0005925,3.40930049291
598,BTO:0000567,GO:0005739,3.40789277613
9611,BTO:0002136,GO:0005634,3.40055408902
4609,BTO:0001061,GO:0005634,3.39555493064
81876,BTO:0000567,GO:0005794,3.39530667447
596,BTO:0000093,GO:0005737,3.38401332018
8976,BTO:0002035,GO:0005925,3.3768121577
5371,BTO:0002136,GO:0005737,3.37023261607
841,BTO:0000093,GO:0005739,3.36839320321
3479,BTO:0005379,GO:0005925,3.36752313656
5743,BTO:0000018,GO:0031982,3.36393491824
4318,BTO:0000599,GO:0005634,3.35685052666
4363,BTO:0000007,GO:0031982,3.35448730369
26136,BTO:0000567,GO:0005925,3.35350829214
10120,BTO:0001061,GO:0005856,3.35171045975
2903,BTO:0000007,GO:0005886,3.35045707964
9677,BTO:0000944,GO:0005886,3.34216727782
27333,BTO:0000567,GO:0005794,3.33143027398
259230,BTO:0000567,GO:0005794,3.33143027398
890,BTO:0000567,GO:0005856,3.32481375942
2309,BTO:0001938,GO:0005634,3.32026564087
3371,BTO:0002035,GO:0005925,3.31570281752
156,BTO:0000007,GO:0005886,3.31562667253
3159,BTO:0000944,GO:0005737,3.31390728107
9447,BTO:0000007,GO:0005737,3.30773201871
999,BTO:0000093,GO:0005634,3.29988319048
6549,BTO:0000195,GO:0005886,3.29790061106
2113,BTO:0001061,GO:0005634,3.29402343031
6772,BTO:0000552,GO:0005634,3.29302692428
6721,BTO:0000195,GO:0005634,3.28819764411
5467,BTO:0002870,GO:0031982,3.2831156423
6541,BTO:0000007,GO:0005886,3.27772894427
375611,BTO:0000007,GO:0005886,3.27665952458
8815,BTO:0000567,GO:0005634,3.27084399557
79784,BTO:0000195,GO:0030054,3.27028660164
142,BTO:0000018,GO:0005739,3.26360006975
10564,BTO:0000599,GO:0005794,3.26252041349
5970,BTO:0000195,GO:0005634,3.26054300307
3309,BTO:0000567,GO:0005783,3.26034196635
2099,BTO:0000093,GO:0005856,3.25217922689
842,BTO:0000567,GO:0005829,3.24562391002
51280,BTO:0000599,GO:0005794,3.2410843304
2670,BTO:0002035,GO:0005856,3.23579856344
1499,BTO:0000093,GO:0005634,3.23144454051
7421,BTO:0000093,GO:0005634,3.22958729282
1956,BTO:0000017,GO:0005829,3.22661368217
813,BTO:0000552,GO:0005794,3.22544727257
4907,BTO:0000567,GO:0005886,3.22340675263
2099,BTO:0000093,GO:0005886,3.21721761043
100126572,BTO:0000567,GO:0030054,3.21333199184
3630,BTO:0000599,GO:0005634,3.20678162116
309,BTO:0000017,GO:0005886,3.20012869412
83874,BTO:0000018,GO:0031982,3.19659474427
30968,BTO:0002210,GO:0005829,3.18944259601
5914,BTO:0002136,GO:0005634,3.18932507973
5122,BTO:0001061,GO:0005737,3.17365085204
801,BTO:0000567,GO:0005856,3.16598751424
3312,BTO:0000567,GO:0005634,3.16238127258
