protein,tissue,scl,score
5324,BTO:0000944,GO:0005634,3.06070597982
22974,BTO:0000567,GO:0005856,3.054996759
6696,BTO:0001061,GO:0005829,3.04705281527
6809,BTO:0000195,GO:0005886,3.04405347752
5591,BTO:0000018,GO:0005634,3.03885133326
7124,BTO:0000552,GO:0005634,3.03144354934
581,BTO:0000599,GO:0005739,3.03055984163
3783,BTO:0000007,GO:0005886,3.03003212668
5578,BTO:0000093,GO:0005829,3.02524367609
3309,BTO:0000793,GO:0005783,3.02014395603
841,BTO:0000567,GO:0005739,3.0154725514
7157,BTO:0000599,GO:0005739,3.0142142033
10257,BTO:0000007,GO:0005886,3.00577303596
672,BTO:0000093,GO:0005856,3.00476809812
581,BTO:0000599,GO:0005829,3.00416799
1950,BTO:0000195,GO:0005856,3.00069666024
142,BTO:0000599,GO:0005634,2.9945583344
9787,BTO:0000567,GO:0005856,2.99364174672
7124,BTO:0000093,GO:0005634,2.992629538
11065,BTO:0002035,GO:0005737,2.98662163164
5594,BTO:0000195,GO:0030054,2.98072561785
6714,BTO:0000018,GO:0005925,2.97971899093
219931,BTO:0000007,GO:0031982,2.97799274163
10726,BTO:0000944,GO:0005794,2.97764892764
328,BTO:0000567,GO:0005634,2.96473686054
53373,BTO:0000007,GO:0031982,2.95914675189
1831,BTO:0001938,GO:0005634,2.95663331369
1894,BTO:0000567,GO:0005856,2.95426494195
836,BTO:0000018,GO:0005829,2.95364377348
351,BTO:0000793,GO:0005634,2.95272467593
5321,BTO:0000018,GO:0005794,2.94822697222
5590,BTO:0000093,GO:0005886,2.947964381
5594,BTO:0000007,GO:0005886,2.94671822541
387,BTO:0000567,GO:0005856,2.94389307013
4082,BTO:0000793,GO:0005886,2.94371891626
5594,BTO:0000093,GO:0005925,2.94188322033
6927,BTO:0000599,GO:0005634,2.94130191819
2908,BTO:0000018,GO:0005634,2.94055713339
311,BTO:0000017,GO:0005634,2.93893355293
3767,BTO:0000007,GO:0005886,2.93280485102
6646,BTO:0000195,GO:0005886,2.93054079137
5468,BTO:0002136,GO:0031982,2.92963339975
6439,BTO:0000195,GO:0005856,2.92700040932
2908,BTO:0001938,GO:0005634,2.92499561847
5747,BTO:0000567,GO:0005856,2.92022280782
5948,BTO:0000195,GO:0005634,2.91859621543
5621,BTO:0000793,GO:0005737,2.91061701584
24145,BTO:0000567,GO:0030054,2.90674858176
2806,BTO:0000195,GO:0005886,2.90608957825
836,BTO:0000093,GO:0005737,2.90380925676
596,BTO:0001061,GO:0005634,2.90044712353
3726,BTO:0000017,GO:0005856,2.89673786023
6667,BTO:0000018,GO:0005634,2.89430718406
284119,BTO:0001061,GO:0005886,2.88748687641
10498,BTO:0000552,GO:0005634,2.88120595526
163786,BTO:0001938,GO:0005856,2.88054331013
219972,BTO:0001938,GO:0005856,2.88054331013
10615,BTO:0000567,GO:0005856,2.87231482885
5970,BTO:0000195,GO:0030054,2.86316270759
4179,BTO:0000195,GO:0005886,2.85962108494
3853,BTO:0001061,GO:0005856,2.85765261821
4170,BTO:0000018,GO:0005739,2.85590177863
1499,BTO:0000195,GO:0030054,2.85470283683
1263,BTO:0000567,GO:0005794,2.85329294674
142,BTO:0000018,GO:0005634,2.8514970663
3725,BTO:0000567,GO:0005634,2.85049074824
6523,BTO:0000195,GO:0005886,2.84915736001
54205,BTO:0000567,GO:0005634,2.84828611558
9075,BTO:0000018,GO:0030054,2.84382989322
6518,BTO:0000195,GO:0005886,2.84350771959
11190,BTO:0001938,GO:0005856,2.84245204884
29108,BTO:0000007,GO:0005737,2.84136873582
5781,BTO:0000018,GO:0005634,2.83643989369
7448,BTO:0002035,GO:0005925,2.83233682628
5901,BTO:0000567,GO:0005634,2.82251561587
51293,BTO:0000195,GO:0005886,2.82140475726
27130,BTO:0000195,GO:0005886,2.82140475726
572,BTO:0000018,GO:0005739,2.81670868645
5966,BTO:0000567,GO:0005634,2.81259102488
7001,BTO:0000552,GO:0005634,2.81245710306
650,BTO:0000093,GO:0005856,2.81150131427
3596,BTO:0002035,GO:0005829,2.81114640175
6531,BTO:0000007,GO:0005886,2.80310907341
6772,BTO:0000567,GO:0005634,2.80168656492
3239,BTO:0000599,GO:0031982,2.80037010597
6066,BTO:0000567,GO:0005634,2.79296223462
8636,BTO:0000567,GO:0005856,2.78986182999
5468,BTO:0000195,GO:0031982,2.7893363244
367,BTO:0000093,GO:0005829,2.78713673139
7220,BTO:0000007,GO:0005886,2.78629426199
128853,BTO:0000944,GO:0005794,2.78484780699
