EntrezID;Tissue;SCL
4651;BTO:0000763;GO:0005886
4651;BTO:0000671;GO:0005856
10884;BTO:0000763;GO:0005634
23303;BTO:0000142;GO:0005856
23303;BTO:0000142;GO:0005737
23303;BTO:0000142;GO:0005634
23303;BTO:0000763;GO:0005794
23303;BTO:0000763;GO:0005886
23303;BTO:0000671;GO:0005856
23303;BTO:0000671;GO:0005737
23303;BTO:0000671;GO:0005634
23303;BTO:0000671;GO:0005886
10243;BTO:0000142;GO:0005856
10243;BTO:0000142;GO:0005737
10243;BTO:0000142;GO:0005794
10243;BTO:0000142;GO:0005634
10243;BTO:0000759;GO:0005737
10243;BTO:0000671;GO:0005856
26270;BTO:0000142;GO:0005737
26270;BTO:0000142;GO:0005783
26270;BTO:0000671;GO:0005783
27430;BTO:0000269;GO:0005634
27430;BTO:0000759;GO:0005634
51256;BTO:0000671;GO:0005856
57180;BTO:0000142;GO:0005856
57622;BTO:0000142;GO:0005886
26958;BTO:0000142;GO:0031982
26958;BTO:0001253;GO:0031982
26958;BTO:0000763;GO:0031982
26958;BTO:0000759;GO:0005737
26958;BTO:0000759;GO:0031982
26958;BTO:0000671;GO:0031982
9902;BTO:0000142;GO:0005856
9902;BTO:0000142;GO:0005886
9902;BTO:0000140;GO:0005886
7223;BTO:0000142;GO:0005856
7223;BTO:0000142;GO:0005737
7223;BTO:0000142;GO:0005886
7223;BTO:0000140;GO:0005783
7223;BTO:0001253;GO:0005783
7223;BTO:0000671;GO:0005856
7223;BTO:0000671;GO:0005783
7223;BTO:0000671;GO:0005794
7223;BTO:0000671;GO:0005886
85376;BTO:0000142;GO:0031982
55620;BTO:0000763;GO:0005737
26047;BTO:0000142;GO:0005856
26047;BTO:0000142;GO:0005634
26047;BTO:0000142;GO:0005886
51361;BTO:0000142;GO:0005737
51361;BTO:0000763;GO:0005886
51361;BTO:0000671;GO:0031982
10451;BTO:0000142;GO:0005886
10451;BTO:0000671;GO:0005886
10687;BTO:0000142;GO:0005634
23040;BTO:0000142;GO:0005634
23040;BTO:0000759;GO:0005634
57216;BTO:0000671;GO:0005783
57216;BTO:0000671;GO:0005886
23603;BTO:0000759;GO:0005856
23603;BTO:0000671;GO:0005783
116987;BTO:0000142;GO:0005634
116987;BTO:0000759;GO:0005634
23112;BTO:0000142;GO:0005634
23112;BTO:0000759;GO:0005634
22941;BTO:0000142;GO:0005856
22941;BTO:0000142;GO:0005737
22941;BTO:0000142;GO:0005634
22941;BTO:0000142;GO:0005886
22941;BTO:0000759;GO:0005634
22941;BTO:0000671;GO:0005856
22941;BTO:0000671;GO:0005737
22941;BTO:0000671;GO:0005886
6941;BTO:0000142;GO:0005634
11217;BTO:0000142;GO:0005634
11217;BTO:0000759;GO:0005634
26191;BTO:0000763;GO:0005737
23589;BTO:0000142;GO:0005886
23589;BTO:0000671;GO:0005886
51004;BTO:0000671;GO:0005794
51465;BTO:0000142;GO:0005783
51465;BTO:0000671;GO:0005783
25876;BTO:0000142;GO:0005856
25876;BTO:0000763;GO:0005856
11035;BTO:0000142;GO:0005634
11035;BTO:0000759;GO:0005737
11035;BTO:0000759;GO:0005634
58485;BTO:0001253;GO:0005783
23593;BTO:0000142;GO:0005886
